,mSA,iou_threshold,projection,box_extension
0,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.0
1,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.025
2,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.05
3,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.075
4,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.1
5,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.125
6,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.15
7,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.175
8,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.2
9,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.225
10,0.004594776403147026,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.25
11,0.004542595769010864,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.0
12,0.004542595769010864,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.025
13,0.004542595769010864,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.05
14,0.004542595769010864,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.075
15,0.004542595769010864,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.1
16,0.004542595769010864,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.125
17,0.004542595769010864,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.15
18,0.004542595769010864,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.175
19,0.004542595769010864,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.2
20,0.004542595769010864,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.225
21,0.004542595769010864,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.25
22,0.009172237626235123,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.0
23,0.0019654160876949205,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.025
24,0.0012048192771084338,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.05
25,0.0003875968992248062,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.075
26,0.0,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.1
27,0.0,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.125
28,0.0,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.15
29,0.0046662443821072,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.175
30,0.004648169764448834,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.2
31,0.004758767802246063,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.225
32,0.004758767802246063,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.25
33,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.0
34,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.025
35,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.05
36,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.075
37,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.1
38,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.125
39,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.15
40,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.175
41,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.2
42,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.225
43,0.002734375,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.25
44,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.0
45,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.025
46,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.05
47,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.075
48,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.1
49,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.125
50,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.15
51,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.175
52,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.2
53,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.225
54,0.0026819923371647508,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.25
55,0.007339773256656403,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.0
56,0.0023316140319126475,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.025
57,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.05
58,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.075
59,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.1
60,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.125
61,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.15
